﻿﻿﻿﻿﻿﻿ -1.0,0.2734375,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.28125,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.28125,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.28125,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.28125,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.28125,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.234375,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.0,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -1.0,0.0,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -0.1640625,0.0,0.0 ﻿
﻿﻿﻿﻿﻿﻿ -0.1640625,0.0,0.0
